"QueueRank","Rank","Wave","Phase","Role","Candidate","Profile","Set","Window","From","To","Model","Deposit","InitialDeposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","SourceSha256","ConfigSha256","PrimaryCompanyFingerprintSha256","MinNetProfit","MinProfitFactor","MinTrades","MaxDrawdownPercent","MinRecoveryFactor","MinCagrPercent","MaxParallelism","StopRule","Status"
"7","7","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2015","2015.01.01","2015.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\013_rdmc_exec_w05_m4_annual_2015.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\013_rdmc_exec_w05_m4_annual_2015.ini","rdmc_exec_w05_m4_annual_2015","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2015","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","5C96FDDB977DFE4F5B7013131D337DBEA0A90F9FF633F47C0F114A22A2A637B1","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","8","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"8","8","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2016","2016.01.01","2016.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\014_rdmc_exec_w05_m4_annual_2016.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\014_rdmc_exec_w05_m4_annual_2016.ini","rdmc_exec_w05_m4_annual_2016","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2016","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","9A2A32A37C62FF7EA8EE3B707F047C71FF241C44FA523C8F8F69DBE33072C793","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","15","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"9","9","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2017","2017.01.01","2017.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\015_rdmc_exec_w05_m4_annual_2017.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\015_rdmc_exec_w05_m4_annual_2017.ini","rdmc_exec_w05_m4_annual_2017","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2017","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","D201D2D8442F7415B13F681C340AA60393D71B0F39F0757527F3B4A94DE40767","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","20","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"10","10","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2018","2018.01.01","2018.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\016_rdmc_exec_w05_m4_annual_2018.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\016_rdmc_exec_w05_m4_annual_2018.ini","rdmc_exec_w05_m4_annual_2018","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2018","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","3733871BF795B2CC222A70662662AAB9C40E57194104DCFCE9E290EB981A7821","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","20","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"11","11","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2019","2019.01.01","2019.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\017_rdmc_exec_w05_m4_annual_2019.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\017_rdmc_exec_w05_m4_annual_2019.ini","rdmc_exec_w05_m4_annual_2019","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2019","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","7C8759D91770008B3AB119F15A4C9164C078C7FC5DB30814EBB85B08BF33EEE7","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","15","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"12","12","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2020","2020.01.01","2020.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\018_rdmc_exec_w05_m4_annual_2020.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\018_rdmc_exec_w05_m4_annual_2020.ini","rdmc_exec_w05_m4_annual_2020","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2020","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","AE774C83B06C1CAFB9EC4A4B4DCBDD5C665501585AD374B4AE5B3FF610837AAF","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","12","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"13","13","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2021","2021.01.01","2021.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\019_rdmc_exec_w05_m4_annual_2021.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\019_rdmc_exec_w05_m4_annual_2021.ini","rdmc_exec_w05_m4_annual_2021","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2021","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","9B9582337E2F7307C0C49C3BEEDE75ADB691FD62CAB9302548BD43BFB31BBE5B","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","15","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"14","14","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2022","2022.01.01","2022.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\020_rdmc_exec_w05_m4_annual_2022.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\020_rdmc_exec_w05_m4_annual_2022.ini","rdmc_exec_w05_m4_annual_2022","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2022","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","257B5DE81F9BA3A55549869DD138AD7BCD4D52562897C6595DAADE5A1E275BB6","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","20","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"15","15","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2023","2023.01.01","2023.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\021_rdmc_exec_w05_m4_annual_2023.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\021_rdmc_exec_w05_m4_annual_2023.ini","rdmc_exec_w05_m4_annual_2023","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2023","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","7A8ADAED6C45DF451B9F45F16656D76609B1E5400D4783A5FEA1698E578BB1FF","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","20","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
"16","16","3","wave_03_m4_annual","annual","rdmc_diversified_repair_restart_safe_v2","rdmc_diversified_repair_restart_safe_v2","frozen_second_broker","2024","2024.01.01","2024.12.31","4","10000","10000","outputs\rdmc_diversified_repair_executable_gate_package\configs\022_rdmc_exec_w05_m4_annual_2024.ini","outputs\rdmc_diversified_repair_executable_gate_package\configs\022_rdmc_exec_w05_m4_annual_2024.ini","rdmc_exec_w05_m4_annual_2024","outputs\rdmc_second_broker_validation_package\reports_here\rdmc_exec_w05_m4_annual_2024","746798EF260A375F8F8921DBC6D03CD3968ED38F5C105818598CA57572A0B883","EC6F866B8F7786169F7B2ECE5553CF3A4DC6E6073D0B25389C16381B71FEF51F","DA4C45DF259C137209E7078594CAC92C8A8B0DBAF65AA841AC47B60BF1BB0734","C9D9B521F3325D6CE4996576CD61C7AA3E860A08B84DC47540C2B30E98924092","0.01","1","15","3","0","0","1","Require all 12 annual/YTD real-tick rows profitable, then enforce annual-to-continuous and primary-to-secondary consistency.","PREREQUISITE_LOCKED"
